,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59
6535766,1278.01,0.01,202.01,19.01,2474.01,2214.01,0.01,1037.01,0.00999999999999,639.01,0.01,38.01,0.00999999999999,0.00999999999999,555.01,5.01,0.00999999999999,0.00999999999999,296.01,63.01,0.01,2041.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,623.01,4.01,0.01,130.01,0.01,0.00999999999999,0.00999999999999,0.01,2.01,0.00999999999999,3292.01,0.01,0.01,0.01,0.00999999999999,101.01,0.00999999999999,0.01,5.01,94.01,0.01,0.0100000000002,0.01,0.01,59.01,420.01,0.01,52.01,0.01,0.01,65.01,2020.01,0.01
IA679,2004.01,0.00999999999999,793.01,725.01,3.01,1723.01,549.01,36.01,1.01,0.01,0.01,0.00999999999999,0.00999999999999,1902.01,88.01,0.00999999999999,1306.01,193.01,108.01,0.01,258.01,4821.01,756.01,0.01,0.00999999999999,507.01,0.00999999999999,2174.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,2274.01,0.01,40.01,515.01,0.01,630.01,0.01,0.01,0.00999999999999,0.00999999999999,17.01,0.01,249.01,0.00999999999999,2626.01,0.01,0.01,0.01,0.00999999999999,48.01,1251.01,0.00999999999999,0.01,7088.01,4841.01,0.01
9590389,0.00999999999999,1.01,1.01,0.00999999999999,64.01,69.01,0.01,0.00999999999999,0.00999999999999,224.01,0.01,6.01,0.01,154.01,0.01,0.01,103.01,0.01,0.01,0.01,0.01,362.01,0.01,0.01,0.01,0.00999999999999,85.01,5.01,1722.01,0.00999999999999,0.00999999999999,0.01,0.01,7.01,0.01,0.01,90.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,2344.01,0.00999999999999,563.01,0.01,26.01,0.01,0.01,123.01,171.01,362.01,0.00999999999999,0.01,0.01,84.01,573.01,0.01
9731471,47186.01,0.01,889.01,140.01,177.01,0.00999999999999,791.01,88.01,250.01,0.0100000000002,0.01,0.01,0.0100000000002,3126.01,0.0100000000002,172069.01,162.01,128.01,19093.01,0.01,108.01,14383.01,0.01,0.01,122.01,0.0100000000002,0.01,17049.01,0.00999999999999,0.01,0.01,0.01,23.01,0.01,0.01,0.010000000002,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.0100000000002,576.01,0.01,121.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,137.01,440.01,81.01,0.01,567.01,36614.01,0.01
8637455,13789.01,61.01,1513.01,4.01,0.00999999999999,1.01,1883.01,0.01,1861.01,49.01,0.01,10.01,17436.01,998.01,0.01,0.0100000000002,3525.01,0.01,22.01,0.01,0.01,9999.01,407.01,0.01,0.0100000000002,16138.01,0.00999999999999,14237.01,0.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,3128.01,3448.01,0.01,0.01,0.0100000000002,0.00999999999999,0.01,0.01,0.01,0.0100000000002,30188.01,0.01,0.01,0.01,0.01,24489.01,0.01,13754.01,0.00999999999999,0.01,0.00999999999999,96867.01,623.01,0.00999999999999,1019.01,14893.01,0.01
8917346,865.01,0.01,0.00999999999999,0.01,148.01,0.00999999999999,48.01,0.01,58899.01,0.01,0.00999999999999,0.00999999999999,0.0100000000002,15925.01,0.00999999999999,0.01,1438.01,296.01,0.0100000000002,0.01,241.01,1044.01,0.01,0.00999999999999,118.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,210.01,0.00999999999999,0.01,0.01,2.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,1822.01,0.01,1230.01,0.0100000000002,0.01,22.01,0.00999999999999,0.01,0.01,14.01,9024.01,0.01
9239487,0.00999999999999,985.01,0.00999999999999,4.01,23180.01,985.01,69.01,448.01,1560.01,0.01,0.01,137.01,0.00999999999999,7588.01,0.01,0.01,1367.01,1556.01,0.00999999999999,49.01,1163.01,0.010000000002,0.0100000000002,0.00999999999999,748.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,2583.01,178.01,177.01,7643.01,387.01,0.01,94499.01,38.01,0.00999999999999,0.01,0.01,0.0100000000002,343.01,1694.01,115.01,5349.01,65.01,197.01,40.01,0.00999999999999,5169.01,0.00999999999999,2556.01,0.01,455.01
9796368,13510.01,15.01,790.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,255.01,0.00999999999999,0.01,0.01,232.01,9022.01,0.00999999999999,5977.01,0.01,0.01,2317.01,0.01,88.01,5262.01,0.00999999999999,0.01,240.01,0.0100000000002,0.01,4859.01,0.01,0.00999999999999,0.01,0.01,362.01,0.00999999999999,1528.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.01,352.01,143.01,0.01,0.00999999999999,0.01,20334.01,0.01,995.01,0.00999999999999,0.01,0.0100000000002,27934.01,2681.01,0.01,3702.01,17346.01,0.01
5802542,0.00999999999999,0.00999999999999,303.01,0.01,0.01,0.01,432.01,0.01,261.01,0.01,0.00999999999999,0.00999999999999,1586.01,91.01,0.00999999999999,0.00999999999999,397.01,0.01,0.00999999999999,0.01,0.01,195.01,748.01,0.01,0.00999999999999,1423.01,0.01,146.01,0.00999999999999,0.01,0.01,0.01,0.01,6048.01,881.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,49.01,1.01,575.01,0.01,0.00999999999999,0.00999999999999,0.01,1815.01,0.01,88.01,0.01,1.01,0.01,0.01,0.01,0.01,89.01,0.0100000000002,0.01
6292516,0.01,0.01,0.01,45.01,0.00999999999999,4.01,0.00999999999999,0.01,317.01,0.01,0.01,0.01,0.01,590.01,0.01,0.01,82.01,0.01,0.01,0.01,0.01,0.0100000000002,0.00999999999999,21.01,37.01,0.00999999999999,0.01,0.00999999999999,22.01,12429.01,0.01,4770.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,0.01,397.01,0.01,0.01,498.01,0.00999999999999,0.01,0.00999999999999,0.01,51.01,0.00999999999999,0.0100000000002,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,1976.01,0.01,0.01,0.0100000000002,645.01,184.01,0.01
