,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79
9713111,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,4661.01,0.00999999999999,0.00999999999999,0.00999999999999,0.0100000000002,0.01,0.00999999999999,0.0100000000002,22049.01,0.01,0.01,0.01,0.01,55.01,2584.01,2114.01,13153.01,0.01,0.00999999999999,0.01,0.0100000000002,0.0100000000002,0.0100000000002,1798.01,14696.01,0.01,1039.01,0.01,0.01,0.00999999999999,0.01,3441.01,7555.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.0100000000002,0.01,0.01,0.0100000000002,0.01,0.00999999999999,2.01,0.0100000000002,0.01,0.01,0.01,1781.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,3156.01,4531.01,0.00999999999999,0.01,51.01,0.00999999999999
8690661,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.0100000000002,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,11325.01,1432.01,0.0100000000002,1224.01,40.01,0.01,0.00999999999999,17548.01,0.00999999999999,0.01,0.0100000000002,0.01,0.01,1036.01,21577.01,1901.01,3409.01,0.00999999999999,1580.01,0.00999999999999,2857.01,202.01,0.0100000000002,3272.01,1668.01,0.01,61476.01,0.01,922.01,0.01,0.01,8264.01,0.00999999999999,0.01,0.01,0.01,0.0100000000002,0.01,3883.01,0.01,515.01,708.01,1448.01,469.01,0.01,5419.01,0.0100000000002,0.00999999999999,393.01,11904.01,0.01,6157.01,0.01,0.00999999999999,0.0100000000002,0.01,0.00999999999999,0.00999999999999,2552.01,8092.01,1638.01,0.01,0.01,669.01
8560210,0.00999999999999,105.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,4458.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.01,13.01,0.00999999999999,0.01,0.00999999999999,0.01,23.01,0.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,11308.01,2253.01,0.00999999999999,0.01,47.01,0.01,0.01,512.01,0.0100000000002,0.00999999999999,0.01,0.01,193.01,14.01,0.01,0.01,506.01,0.01,3729.01,0.00999999999999,0.01,279.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,2032.01,67.01,11149.01,0.00999999999999,0.01,0.01,4.01,1312.01,0.00999999999999,0.00999999999999,0.01,12090.01,0.01,752.01,0.01,0.01,0.0100000000002,14163.01,2213.01,745.01,0.01,0.01,0.01,0.01
11679509,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,173.01,0.00999999999999,1620.01,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.00999999999999,804.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,109.01,1.01,0.00999999999999,1550.01,45.01,0.01,1841.01,0.01,0.01,0.01,0.01,3326.01,0.01,0.00999999999999,0.01,0.00999999999999,58.01,0.01,0.00999999999999,0.01,0.01,58.01,1390.01,319.01,0.00999999999999,201.01,488.01,0.01,2409.01,2373.01,0.01,957.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,604.01,0.01,187.01,0.01,0.01,5950.01
587795,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,1485.01,269.01,39764.01,275.01,0.00999999999999,0.01,0.01,141.01,0.01,0.01,2944.01,0.01,0.01,0.01,1051.01,267.01,2118.01,0.01,0.01,0.01,0.00999999999999,155.01,324.01,0.01,513.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,933.01,0.01,0.01,0.01,0.00999999999999,88.01,0.01,618.01,0.00999999999999,664.01,612.01,0.01,0.01,0.01,0.0100000000002,0.01,0.0100000000002,0.00999999999999,0.00999999999999,0.01,0.0100000000002,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,371.01,709.01,0.00999999999999,0.01,0.01,0.01
1192863,191.01,54.01,40.01,342.01,0.01,21.01,0.01,0.00999999999999,0.01,0.01,17.01,0.01,1068.01,888.01,118.01,0.01,0.0100000000002,2178.01,229.01,0.00999999999999,117266.01,794.01,32.01,276.01,0.01,178.01,1.01,0.0100000000002,3208.01,0.01,0.01,0.00999999999999,944.01,405.01,438.01,121.01,0.01,0.01,0.00999999999999,0.01,4410.01,0.00999999999999,0.01,1.01,0.01,333.01,270.01,0.01,37.01,0.0100000000002,0.0100000000002,0.01,0.00999999999999,527.01,111.01,223.01,0.01,54.01,0.0100000000002,1076.01,0.00999999999999,0.00999999999999,227.01,1396.01,48.01,0.00999999999999,0.01,0.0100000000002,2.01,0.00999999999999,0.01,0.01,0.01,0.01,1915.01,0.01,333.01,0.00999999999999,0.01,312.01
8617369,0.01,0.00999999999999,0.00999999999999,0.01,0.0100000000002,0.00999999999999,0.01,0.0100000000002,0.01,0.0100000000002,0.01,0.01,0.01,1.01,0.01,0.01,6563.01,0.01,82.01,0.01,0.01,0.01,0.01,29249.01,0.00999999999999,0.01,0.01,0.01,0.01,337.01,7320.01,142842.01,1030.01,0.01,348.01,0.01,0.01,0.010000000002,0.00999999999999,0.01,17.01,0.01,0.01,0.01,0.01,0.0100000000002,0.01,2350.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,4007.01,0.01,3378.01,0.0100000000002,0.01,0.01,0.01,3533.01,0.01,0.01,0.00999999999999,1936.01,0.01,0.01,0.01,0.01,0.00999999999999,127.01,0.01,0.0100000000002,10342.01,14571.01,0.01,0.01,187.01,0.01
6587813,0.00999999999999,0.00999999999999,0.01,546.01,0.01,0.01,8236.01,0.01,12393.01,9490.01,405.01,83123.01,364.01,3548.01,6360.01,74.01,15088.01,0.01,55.01,0.01,2909.01,1774.01,6660.01,0.01,0.01,0.01,126.01,395.01,0.00999999999999,2428.01,0.0100000000002,0.01,0.01,1958.01,8495.01,49.01,7354.01,0.00999999999999,0.01,0.0100000000002,0.01,0.01,3.01,0.01,40922.01,1208.01,152.01,940.01,66.01,1099.01,165.01,0.01,116.01,881.01,196.01,0.01,0.01,413.01,0.01,490.01,0.00999999999999,0.01,0.0100000000002,82.01,1097.01,0.01,525.01,9279.01,1737.01,0.01,82.01,0.01,0.01,0.0100000000002,10057.01,173.01,137298.01,0.00999999999999,0.01,1520.01
292189,0.01,0.01,0.00999999999999,0.01,0.01,0.01,730.01,0.01,22.01,47.01,227.01,243.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,18.01,0.01,0.00999999999999,0.01,0.01,0.0100000000002,0.01,0.00999999999999,17.01,0.01,0.00999999999999,0.01,283.01,0.01,0.00999999999999,0.01,341.01,2209.01,62.01,88.01,104.01,0.01,0.00999999999999,0.01,1228.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,108.01,0.00999999999999,0.01,0.01,0.01,72.01,0.00999999999999,0.0100000000002,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,0.0100000000002,0.00999999999999,0.01,44.01,4490.01,64.01,0.00999999999999,1442.01,0.01,863.01,0.00999999999999,25121.01,0.01
1473225,668.01,1.01,0.01,2285.01,0.01,0.01,268.01,0.01,6152.01,0.01,58.01,685.01,252.01,0.0100000000002,4673.01,0.01,2039.01,114.01,0.00999999999999,0.01,252.01,6508.01,0.00999999999999,0.01,0.01,468.01,0.01,0.00999999999999,220.01,220.01,0.01,0.01,111.01,0.01,352.01,0.00999999999999,148.01,0.0100000000002,0.00999999999999,846.01,587.01,635.01,0.01,1102.01,724.01,224.01,3714.01,603.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,1549.01,0.01,0.01,0.01,0.00999999999999,312.01,25.01,0.01,0.00999999999999,0.00999999999999,0.01,719.01,0.01,0.01,850.01,6057.01,0.01,812.01,0.01,0.01,0.00999999999999,301.01,0.01,0.00999999999999,12540.01,0.01,0.01
